Problem,Pooling Type,Sparse Sensors,Mean Absolute Error,Mean Relative Error,Max Absolute Error,Max Relative Error,Min Absolute Error,Min Relative Error
poisson,asa,1,2.111336755441357,0.07032049486744527,6.52376776024639,0.21723176356224533,0.5020380332579791,0.01725769701925691
poisson,asa,3,0.5213844086859092,0.017739363808896028,2.9410183485317303,0.11315894897048004,0.09179318025259128,0.0028679647241052456
poisson,asa,5,0.7874536324652688,0.026745524884508813,2.353221012859265,0.08323702480965497,0.14378798699522857,0.004702890936445039
advection,asa,1,17.0894914490532,0.2968294451116267,96.28045604650764,0.6256267417814662,0.179548006212099,0.06806284499304487
advection,asa,3,12.279145911790122,0.21948243856956476,67.44506613876638,0.6267886865905808,0.1486320563205347,0.04726936386966261
advection,asa,5,12.41390714298032,0.24879252548914513,49.028661627211484,0.6235551683857617,0.18413070912812995,0.07304991506707036
graetz,asa,1,1.628802178224851,0.03885274064462404,4.171698942079054,0.08767783219501513,0.2479433942550461,0.005735627062295554
graetz,asa,3,1.6516796918724483,0.03978696204699087,5.41556945940306,0.1375127750584134,0.15618911759266693,0.00360342839489809
graetz,asa,5,1.4487149319897867,0.03500691348161313,4.380720618533801,0.1269848090119432,0.2069929281372415,0.004802884827662015
navier_stokes_VX,asa,1,102.95147356390429,0.18907318813862134,282.41517129584844,0.4715877321990455,24.675225021758237,0.055281230032521174
navier_stokes_VX,asa,3,70.15605634371865,0.1282693862831014,377.76015908311723,0.5908861354329605,9.034716710706274,0.019101084206135252
navier_stokes_VX,asa,5,76.14777884797688,0.13930150656958315,267.5335873810596,0.4197653855598818,12.12357790276227,0.024070634144171977
navier_stokes_VY,asa,1,17.80794299422013,0.5402123547451269,119.06685800839129,1.7882816221161895,4.001410559446054,0.19466347632048656
navier_stokes_VY,asa,3,12.64145378089405,0.42904163967878073,54.244691155635664,1.027691957678435,2.242999581471658,0.10728404709265812
navier_stokes_VY,asa,5,12.971128925228555,0.4248335180197678,70.64237055574863,1.0425772474122912,2.2725254831088466,0.10869628909567222
navier_stokes_P,asa,1,1545.9357937233217,0.29190119405443565,9231.516110940995,0.7690724650144403,230.08347624861258,0.03171219463591243
navier_stokes_P,asa,3,1120.851099113122,0.2052199981381361,6803.466459350299,0.5701197283454139,197.1142221638635,0.03210180263487626
navier_stokes_P,asa,5,1072.544452347622,0.199447971343431,6984.809082362152,0.5452782900873343,131.11907996244727,0.02747454995713516
diffusion,asa,1,0.6661996578928852,0.11856831373620857,18.905837433631323,0.9197959860381967,4.2162484492088587e-10,0.01068163462640725
diffusion,asa,3,0.033970277757299404,0.012264938306502403,1.7013379401883197,0.08277252006282254,2.517210898566164e-10,0.0031081265361468345
diffusion,asa,5,0.035864230099599895,0.012315592144685819,1.8618594292217199,0.09058211970653622,2.6030289340707766e-10,0.0016784779649417485
poiseuille,asa,1,0.09406684638561241,0.058975133843108055,1.3997622491318396,0.7035367508275603,0.0001279976234429931,0.012714078456864217
poiseuille,asa,3,0.061158980660864025,0.03576587351770034,0.6233404066743029,0.2807044147373858,0.00012264008877370435,0.012668258266003641
poiseuille,asa,5,0.061070253494137534,0.03541637045855661,0.5215715894223961,0.24927764808558883,0.00012644097832723917,0.010844042570618877
elasticity,asa,1,0.0024485944806114696,0.0007802768162518435,0.01883418148617094,0.0034645361720095228,0.00019168998601398762,0.00016298659283287
elasticity,asa,3,0.0013614442524163422,0.0004250110527880078,0.008521258802095545,0.0009304639298355601,0.00011432576495330674,8.90733088395654e-05
elasticity,asa,5,0.0034361118274185147,0.0009600400966867005,0.028092126958230264,0.004003138812558542,0.00015244006941011388,0.00012809009716164386
stokes_u,asa,1,15.598797919267605,0.3387454088811182,40.14227242259089,0.8166716803681925,6.271423582025849,0.09688940747653345
stokes_u,asa,3,13.163898045347144,0.26114701899122217,39.56693247698415,0.9845552513699154,2.1194237740179167,0.070233798676192
stokes_u,asa,5,12.472502193073433,0.2446030476703469,40.51970539533195,0.9511188565044248,2.291188623597761,0.04530155340623862
